Date,Team 1,Team 2,Time
10/11/25,BIG TIME,MANA HAWAII,5:30
10/11/25,MANAFEST,LOCKDOWN,6:10
10/11/25,BIG TIME,RAINJAHZ,6:50
10/11/25,JAMMERS,SHARKS,7:30
10/18/25,No Game,No Game,5:30
10/18/25,LOCKDOWN,BIG TIME,6:10
10/18/25,MANAFEST,SHARKS,6:50
10/18/25,RAINJAHZ,JAMMERS,7:30
10/25/25,LOCKDOWN,SHARKS,5:30
10/25/25,RAINJAHZ,MANA HAWAII,6:10
10/25/25,MANAFEST,JAMMERS,6:50
10/25/25,MANAFEST,No Game,7:30
11/1/25,LOCKDOWN,MANA HAWAII,5:30
11/1/25,SHARKS,MANA HAWAII,6:10
11/1/25,MANAFEST,RAINJAHZ,6:50
11/1/25,BIG TIME,JAMMERS,7:30
11/8/25,No Game,No Game,5:30
11/8/25,SHARKS,BIG TIME,6:10
11/8/25,JAMMERS,MANA HAWAII,6:50
11/8/25,LOCKDOWN,RAINJAHZ,7:30
11/11/25,5TH SEED BYE,No Game,5:30
11/11/25,1 SEED,4TH SEED,6:10
11/11/25,2ND SEED,3RD SEES,6:50
11/11/25,6TH SEED,7TH SEED,7:30
